id	title	duration_seconds
--l2BGGp4Ao	PalmOne Tungsten T5 eBay Demo	281.0
-19DMa8HxMk	She CAN'T STOP buying inventory for EBAY	3140.0
-1vF9V6iJ_Y	Hang out with us in our EBAY shed!	1269.0
-6swTiln4Bw	EBAY finally got us, did they get you too?	1936.0
-6zqDHihsGw	We Sold These 45 Things on EBAY to Make MONEY	2097.0
-70ucsAJh9s	Do you know how to do this on EBAY?	1429.0
-7CIuFWeu_k	Our Crazy EBAY Buyer Threw his Order in the River	1640.0
-7nZIKOWZTE	What boxes should a beginner get for EBAY?	1702.0
-E-ZzokNAIc	Took a few days off EBAY then THIS HAPPENED	778.0
-GXwD6N9268	This is what FULL TIME EBAY SELLERS do	1317.0
-GuXm72yve4	Tons of COOL VINTAGE STUFF!	1899.0
-KZNL1X92eU	Something about this EBAY RETURN doesn't seem RIGHT	2119.0
-LHmyu8MIWA	Did you know about this "Hidden" EBAY feature?	2118.0
-LTeO9clSu8	My Last Day as a SOLO EBAY Seller!	1077.0
-P1QoHykAo8	10 COMMON MISTAKES BEGINNER EBAY SELLERS MAKE	1719.0
-PsARadH-Hk	Is Pirate Ship always the best choice for EBAY shipping?	1223.0
-REa496azGk	Our EBAY Sales have us a little concerned	1622.0
-S-Cx_qh2Mc	We weren't buying more EBAY inventory, but then SHE called	4353.0
-T2lirz0ZxU	Our New EBAY Plan - So far so good	1291.0
-VuyxrBRPOc	Sony PSP-1006 demo for eBay	266.0
-XSlvHAh2ro	Garage Sales Paid For Our Trip!	1027.0
-YAy_Tm8TC8	Collectibles, toys and media are my best EBAY sellers	751.0
-eZrpXgwF2Y	Slingin the BEAN on EBAY	503.0
-etiX9Y35ms	EBAY Policy Makes This Situation MORE STRESSFUL Than It Needs To Be	2191.0
-i9xuzHkjrg	Random AMAZING sales day on eBAY	1767.0
-t7p0QhYr2o	She sold all this on EBAY!	2090.0
081NeWbhQ24	TWO YEARS LATER - We finally sold the last one!	1839.0
0CH98XyAEts	Vintage Kassoy Jewelers Balance Scales, weights and tools	293.0
0NlSKOVfIX8	I was not ashamed to sell this on EBAY	1145.0
0O0EyNHhWpE	Story Time from the Estate Sale	2962.0
0ObcVJmZQlk	She Found a Stack of Children's Books worth over $850 at a Garage Sale	2015.0
0YIsBom6nw0	Lessons Learned from from buying $2000+ of Walgreen's Clearance	1480.0
0f7tI7-TljM	A New Toy for our EBAY Business!	1715.0
0hWJsJaI3rM	THRILLED I sold this on EBAY - BUT did it sell TOO FAST?	1680.0
0iGyD1tQ0G4	12 Things You Can Sell on EBAY for Profit	1849.0
0kYHCCB2vO8	Garage Sale season is FINISHED	1566.0
0pJbp2FIfKo	What is the BARE MINIMUM needed to start selling on EBAY?	1291.0
0pfzEFXeMpY	NO SALES on EBAY for 19 HOURS - SCARY!	1527.0
0qPpy8sBqPA	EBAY: Not so glamorous	1021.0
1-SkYk1YR7g	I sold 42 of these in one day on EBAY	711.0
10xvn2MkjVs	GARAGE SALE - THIS SEEMS RISKY	646.0
14NnagFkNJc	We went HARD at this Garage Sale	1026.0
14SQiELyXLQ	Two Days of Making Money on EBAY, FB Marketplace, Etsy and Mercari	2980.0
18NNIDsuJkQ	SEALED things get EBAY sellers EXCITED	2326.0
1G-0z6uXwIM	Vintage Toys and Action Figures are her KRYPTONITE	1264.0
1Hi0N5TyayI	New EBAY Seller? Here's how I pack 20 orders.	1913.0
1R7yyY3EQwM	This Should be PERFECT for EBAY	2112.0
1Z_AeCPHZHs	This is some of the EASIEST MONEY you can make on EBAY	1206.0
1aQOlfq1RqQ	Garage Sales shouldn't be this GOOD in November!	3259.0
1bHK8y8TZb8	Is having an EBAY Store worth the expense?	2870.0
1clXSUjVkHk	They claimed this was a "Game Changer" for eBay sellers	1108.0
1eyzCAikKN0	This Garage Sale SCORE is paying off FAST	2052.0
1h51JxhFbh0	Why would you BLOCK a potential customer on EBAY?	1333.0
1jOKA5Vvk0A	This EBAY LOOPHOLE Makes Selling Expensive Items TERRIFYING	1801.0
1k0bXMvW5Rg	Found this beauty in my EBAY DEATH PILE	1487.0
1nRM-NYmca8	Loading up our EBAY Store for Quarter #4	1894.0
1ro3xOnohMA	I RAN when I saw this boxed NES console at the Garage Sale	3018.0
1tJYdJ4mXV8	Are Estate Sales better than Garage Sales?	1621.0
1vgvRecDLV0	EBAY keeps taking down our listings!	1600.0
1wcfuduNzLs	Why were these GEMS still there on the LAST DAY OF THE ESTATE SALE?	2067.0
1y4YKvH4lx0	We Should Have Bought These for our EBAY Business a LONG Time Ago	2011.0
2-JTS5Uhb-Y	Suikoden 2 PS1 game demo for eBay	171.0
24w_-TfSkok	This EBAY buyer had a STRANGE REQUEST	1560.0
27RuVbwfldI	Let's talk Garage Sale strategy!	1105.0
29AtFZtQgnc	Does writing "FRAGILE" on your EBAY packages make a difference?	1619.0
2FbmioSekI0	EBAY "End and Sell Similar" - This is how we do it	1280.0
2VuF4kA9X2g	GARAGE SALE GOPRO POV FOOTAGE UNCUT	4860.0
2cKYWclzdME	We bought 480 Items at a Yard Sale for only $100	3028.0
2k_mPaKsAqQ	Why do our EBAY Listings Seem to Disappear?	2069.0
2r7af6eXoXc	We set a goal for EBAY and FAILED :(	2290.0
2vhCZKgWNVs	Pulling and Packing EBAY orders	1165.0
37fAteyR3EY	We sold 51 things on EBAY!	1993.0
3EsV73FIOvU	Selling PARTS ONLY on EBAY? BE CAREFUL!	2414.0
3HUPLyk4_Q0	This is what happens after you get paid on EBAY	680.0
3HtDHM_aZSU	SUPRISINGLY FAST SELLERS on EBAY	1595.0
3L6VhdmFhBA	This Ebay buyer was up to no good	768.0
3LhACXL9WXU	How we plan the PERFECT GARAGE SALE ROUTE	2311.0
3M4H2E_r6-4	EBAY VAULT - Can Ebay actually pull this off?	797.0
3NpHiaH53B4	Does "BRANDING" really matter on EBAY?	1368.0
3Pk7zUXn-e8	This EBAY Return Restored my Faith in Humanity	1573.0
3QV1RZZayYs	This EBAY announcement made me HAPPY	1780.0
3RKL-uIQmBo	EBAY was GOOD to us today!	1266.0
3TGnQuoM0_A	We've sold hundreds of these on EBAY	1008.0
3Wt-hpRhT_0	THIS could shut down my EBAY account	1946.0
3b1xMcQc9mU	Regretted selling this on EBAY	947.0
3bGm7SuL_0g	33 THINGS THAT SELL ON EBAY	878.0
3bIWsqiB7yE	DON'T DO THIS AT GARAGE SALES	2402.0
3gyDNK9fup8	How to Pack and Ship EBAY Orders #2 - FRAGILE ITEMS	3389.0
3ng7AegRNfY	EBAY buyer sent item back without opening return - What would YOU do?	1430.0
3upBVOEytCE	She Filled Our Truck With EBAY INVENTORY	5346.0
3xY-mt9OKlY	62 Things You Can Sell on EBAY for PROFIT	1714.0
47pkH1uQUDU	This EBAY policy is disturbing	984.0
4A1Gpi_SBLs	LOADING our EBAY Store up for Christmas!	1592.0
4Hd6PZb99SU	24 THINGS THAT SELL ON EBAY	1047.0
4TjpyHlUb_w	43 THINGS YOU CAN SELL ON EBAY TO MAKE PROFIT	2277.0
4aoThoptmLE	This EBAY Buyer Has Clearly Been Burned Before	1570.0
4csQg4_39Ts	This keeps reselling on EBAY interesting	810.0
4diPfE8HOm4	Would you be willing to SELL THIS ON EBAY?	1706.0
4i00VpSS04s	Leap Frog TAG reader and 7 books ebay demo	130.0
4kxjePx5yso	We sold 130 things on EBAY, come pull orders with us!	2604.0
4miEy6sxEy8	Most EBAY sellers aren't willing to sell THESE	1974.0
4nZlu3vWIeE	Is this EBAY seller getting scammed?	1897.0
4qQRYfFV5rQ	This EBAY sale was SATISFYING	2515.0
4q_JX8o70p8	We got carried away Buying at Garage Sales	1939.0
4vPgx3I7Moo	Is there anything more fun than the end of an EBAY auction?	905.0
4wF3aROvBrU	Can We Sell 200,000 of These on EBAY?	2047.0
4wi5SymaCuY	Everyone Else Walked Past This ESTATE SALE Score	1627.0
4x9_Ozha3ok	25 Things You Can Sell On EBAY for PROFIT	1703.0
4yJhWgBkU3o	I felt DIRTY fulfilling this EBAY buyer's request	2273.0
51QX8rCkT7M	Can I put 700 Funko Pops on EBAY in 14 days?	786.0
52HgykssMr8	This MERCARI update is a GAME CHANGER for trading card sellers	2365.0
5CB9EYMgjeA	My EBAY store is shut down - now I pull his orders	980.0
5FHkM1PAQF8	Should Have Been Doing THIS with Our EBAY Inventory All Along	2082.0
5SFBUSFJ4sU	I don't know how she scores these deals on Facebook Marketplace	2841.0
5SURWaOKPcE	Stumbled upon this year's BEST GARAGE SALE FIND	1530.0
5nrOGRC7sCs	$64 Funko Pop sold on EBAY - shipped it in a BUBBLE MAILER	924.0
5vAq-UEnezQ	Our EBAY OPERATION is becoming a WELL OILED MACHINE	1911.0
68LuQe21UGU	What if Bob Ross packed EBAY orders?	2748.0
6ECeW30qeFE	Everyone else walks by these EBAY moneymakers	3259.0
6HZcP7Ks2MU	Perfect Christmas Gift for an EBAY seller	1963.0
6I3MKYG6PtQ	100 Things We Sold on EBAY for $100 (or more!)	6163.0
6I3WZzqhCZA	30 Things We Sold for PROFIT on EBAY and MERCARI	2494.0
6MLmuxsFSJ4	I find packing EBAY orders ODDLY SATISFYING	3518.0
6Q7U1CpqYzA	Our EBAY BACKSTOCK is getting FULL!	1780.0
6UpJswb9sdE	EBAY and Big Cartel have kept me very busy	1495.0
6V3LZPPjKvo	I Still Can't Believe This Happened on Facebook Marketplace	2170.0
6WnHS7GStIE	Share EBAY store on YouTube?	1314.0
6WwGtlNWvug	What in the Garage Sale is going on here?	1502.0
6YgjveYXFxw	57 Things You Can Sell on EBAY for PROFIT	2124.0
6Ytp25rRv4Y	Texas Instruments TI 99/4A Vintage Computer demo w/ speech synthesizer -Alpine,Munchman	453.0
6_GdaMwNRHA	These Unexpected EBAY Bolo's are a GOLD MINE	1934.0
6b9lbaCyyBU	How does Candice do her reSuRCh for EBAY?	1820.0
6iVy-g9v1ME	What is BLACK FRIDAY like for an EBAY seller?	2584.0
6iXXWyRcgwA	Garage Sale find - Will it work?	985.0
6lU7MqWuuwk	29 Things we SOLD on EBAY for PROFIT	2273.0
6rgiTBzpyO0	How much will I get for this on EBAY?	1381.0
6unG6XVxxvU	How did this end up in a Garage Sale?	2270.0
6uzrELxY5xI	How to Pack and Ship EBAY Orders #10 - They Bought WHAT??	6421.0
71Qmf8gbeCw	20 Things We Sell on EBAY for PROFIT	1852.0
78wPg3cC0xk	Our FAVORITE Way To Source EBAY Inventory - WE FILLED THE TRUCK	3211.0
79Ixn8o4vdU	When "Everything's A Dollar" at the Garage Sale	2675.0
7CbhZGFmsfE	These Garage Sale finds make me want to MOVE	978.0
7D9Jl_rz4LA	20 Things That Made Us MONEY ON EBAY	1429.0
7DOJHpWAHKU	No one else wanted to buy THESE at the Estate Sale	1813.0
7EFyQclVXTM	Can you spot the EBAY mistake in this video?	1008.0
7Ey-A033QlA	This is why selling electronics on EBAY isn't for everyone	2345.0
7GDNjVBpxG8	Do HUGE Garage Sale SCORES make us feel GUILTY?	2758.0
7MXQqPC0Xsg	Are you running sales on EBAY during 4th quarter?	1203.0
7Pojpn1jAiY	Lowrance XOG GPS eBay demo	133.0
7QGZsibZ60Q	BIG Profit Margin but is this EBAY Sale WORTH IT?	1204.0
7TR5VvOnxMM	Come hang out in our EBAY SHED	742.0
7VMIIZjrT9g	She's ADDICTED to GARAGE SALES	1292.0
7W-QMQQ9f_8	Sometimes EBAY requires a little midnight OIL	1259.0
7YR-MGMpauI	I think it's time to run a sale on EBAY	851.0
7at3yDReQcY	Passing THESE up at Yard Sales is a big mistake	1991.0
7gUNuzdXo9k	How much would you sell your ENTIRE EBAY inventory for?	2354.0
7jD8e8sOjU4	One of our favorite ways to get EBAY inventory - PRIVATE PICK	2564.0
7jvY5AqXNyI	This is the best thing to sell on EBAY	1887.0
7oE_GBJQMbw	Can I use someone else's photos on EBAY?	1543.0
7pEKbhXBvp0	THIS is why we aren't ready to give up on ETSY	1409.0
7rnfDtD5IyA	EBAY sale - Return to Sender - Now what?	1334.0
7y96BMVbWvM	BUYING & BUYING & BUYING for EBAY	2564.0
7z6A1_HZS7A	What's SELLING for us on EBAY, POSHMARK, ETSY & MERCARI right now	1323.0
89ViiwGWgRY	What are the best shipping methods for these packages on EBAY?	2136.0
8ArfFRnO4HE	Les Paul Guitar Hero Controller for Nintendo Wii - New in open box-eBay demo	126.0
8G-ZQU6oaKg	This EBAY Mega Order kept "CHA CHINGING"	2112.0
8IuFLBAsf9c	Why are we still buying EBAY inventory? Don't we have too much?	2134.0
8MTa0mzufhA	Tomtom XL GPS eBay Demo	144.0
8Oc6WFRFUO0	22 ORDINARY THINGS that SELL ON EBAY	1886.0
8RTQcJ4UdCs	Two Amazing Plush Scores at Two Different Garage Sales!	2591.0
8SipBy86pLI	No comps found but knew this was perfect for EBAY	1253.0
8XEjPB1V8CU	Join us for a $1000 EBAY Inventory Sourcing Trip	2278.0
8aQ7H2XX-yo	Would you get this Toxic Crusaders toy graded or sell it raw?	1752.0
8brLNISn-Ok	Only $20 for HUNDREDS of these 40 Year Old Collectibles	2762.0
8fmd5kbzl1g	We let ourself GET HOSED on this Facebook Marketplace Buy	1736.0
8h7kO-giw1k	Inflation so bad we sold a 5 Dollar Bill for $10!	1683.0
8lWyFEbUGKg	Selling online can be an Emotional Rollercoaster (at least for us)	1738.0
8qgxKpXK_0c	DRAMA AT THE GARAGE SALE - CAUGHT ON CAMERA	499.0
8rl-OiGwWUM	Taking Inventory of our EBAY Store is worth the headache	1316.0
8utxO30xNz8	This is ONE of Our Strategies for Making Money on EBAY	1922.0
8v0nHhNGn0E	Sent 150 Offers on EBAY - DID IT WORK?	1751.0
91Gk7Zi-7fk	Bought her a surprise at the Garage Sale. She didn't like it.	1620.0
98C4wf8V5Gs	She's EXCITED about this $400 EBAY Sale (she doesn't have to pack it)	1062.0
98_Ur1Md5bY	Canon AF35 ML camera eBay demo	348.0
98eEYkHY0b4	We are willing to sell ALMOST ANYTHING on EBAY	2187.0
9A5qix_fizI	Our EBAY inventory storage is SUPERIOR to bins - Change my mind	1783.0
9EGwIJ5EfCI	Our Favorite Way to Find Items For EBAY	1628.0
9G-pOfrqhS0	Come take an EBAY TEST DRIVE with me!	1050.0
9Hked4Ogtpk	When EBAY Inventory has worn out it's welcome	1402.0
9Lwhwiy1Idc	eBAY WELCHER had the nerve to tell me THIS	2111.0
