timestamp	frame	platform	item_title	sold_price	shipping_buyer_pays	custom_label	notes
02:25	030	eBay	Lot of 25 35mm Film Theatrical Movie Theater Preview Trailers	74.99	38.04	14D	Promoted listing
02:35	032	eBay	New Balance Unisex CT302 Sneakers Mens Sz 8.5	28.00	9.84	1B	Promoted listing; "Tim Bravo" in audio
03:05	038	eBay	Lot of 57 Rolls of Various Craft & Sewing Ribbon, Most New	24.99	9.86	5A - R8	Promoted listing
03:25	042	eBay	Free People Belmont Brown Leather Ankle Strap High Heels	29.99	8.87	2C	Promoted listing
04:05	050	eBay	US Army Black Jogger Sweatpants Men's Sz 2XL	19.99	8.63	8A - 2X Army Sweatpants some in storage	Promoted listing; card visible 20s+
05:15	064	eBay	Smashbox Photo Finish Primer Minimize Pores Original Formula	24.99	5.62	guy	Promoted listing
05:35	068	eBay	Law & Order Renegades G.I. JOE COBRA 30th Anniversary	47.99	6.09	4A - Box C	Promoted listing
06:45	082	eBay	2015-2020 Ford F150 Truck Crew Cab Set Of 4 Black Carpet Floor Mats	34.99	19.89	10A	Promoted listing
07:15	088	eBay	Pop Mart x Hapico The Art World Kira Kira Figure 2023	29.99	5.89	12B	Promoted listing
07:35	092	eBay	Keen Mens Portsmouth II Shoes Size 10.5 Waterproof	49.99	8.87	4F	Promoted listing
08:05	098	eBay	Vintage Monet Ivory Enamel Flower Brooch Signed Floral	24.99	5.52	pocket 147
08:35	104	eBay	Pair of Blenko Amberina Hand Blown 6.5" Crackle Glass Vases	40.00	11.89	6E	Promoted listing
09:25	114	eBay	SHED FLIPS Refrigerator Sign Magnet 4.9" diam	7.99	5.07	SHED	Channel merch — sold on eBay
09:45	118	eBay	Stanley Nesting Two Cup Cookset Stainless Steel Pot	20.99	7.57	10A	Promoted listing
10:15	124	eBay	Missha Perfect Cover Serum B.B Cream No. 21 Light Beige	13.99	5.89	Razor	Promoted listing
10:25	126	eBay	Nitrous Outlet N2O Racing Motorsports Red Black Hat	14.00	5.89	HAT D	Promoted listing
11:05	134	eBay	1961 Ford Truck 100-800 Series Shop Manual and 1962-63 Su	19.99	8.22	30
11:45	142	eBay	Spyder Aggressor & Tippmann Cronus Paintball Marker Gun	129.99	18.95	1A	Promoted listing
12:45	154	eBay	Urban Decay 24/7 LSD Navy Turquoise Shimmer Glide On Eyeliner	12.99	5.45	10B - LSD	Promoted listing
13:15	158	eBay	Vtg Anheuser Busch Eagle Logo Brass Belt Buckle	9.99	7.12	guy	Promoted listing
13:45	164	eBay	Lot of 25 35mm Film Theatrical Movie Theater Preview Trailers (2nd buyer)	74.99	26.11	14D	Promoted listing — same item, second copy sold
14:45	178	eBay	GI Joe Dollar General 2011 Figure Lot of 4 -Cobra Comm	44.99	9.52	5B Right - "2011 DG"	Promoted listing
15:45	190	eBay	Dick Stoner "I Spell MAGIC F-U-N!" Magician Magic Lecture	11.99	4.47	10C - MAGIC	Promoted listing
16:45	202	eBay	Lot of 2 Bare Soak Lavender Premium Collection Silky Butter	19.99	6.98	5B	Promoted listing
18:05	218	Poshmark	Lucchese Salesman Boot Shaft Cover Pr Black Velvet Gold Embroidered Estate Find	25.00		5D	"Last pair" per audio
18:55	228	Mercari	Trick or Treat Harold Scarecrow Full Latex Mask Scary Stories to Tell in Dark	35.00		5A (Mask Box)	Order summary format; "Sold on 04/24/26"; Mercari had 500 error during recording
19:55	240	Etsy	New Bunny Matthews Vic & Nat'ly Coffee Mugs Set Of 4 DH Holmes Japan Vtg 1985	199.99		12C	Highest-value sale of the morning; "Etsy was on fire" per Candice
